tipo_celular,module_size,GFOD1_MM,GFOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.395,95.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,499.0,0.1,8.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.134,24.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.164,63.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,97.0,0.402,88.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.185,62.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,658.0,0.221,58.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,279.0,0.232,58.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.155,25.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,262.0,0.099,32.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.13,94.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,735.0,0.1,52.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.066,29.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,51.0,0.199,22.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,553.0,0.19,81.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,127.0,0.293,38.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,251.0,0.136,27.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,309.0,0.207,86.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.125,71.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,804.0,0.162,61.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
