tipo_celular,module_size,BMT2_MM,BMT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.156,16.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.175,58.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.106,19.0,166,5,3.01,1.77 (0.65-2.89),161,96.99,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,666.0,0.223,80.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48)
GABA neurons expressing GLU receptors 22,1069.0,0.135,26.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.12,47.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,140.0,0.337,83.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.163,75.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.14,52.0,125,2,1.6,NA,123,98.4,3.35 (3.03-3.68)
astrocytes 8,283.0,0.214,84.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,6,2.17,1.47 (0.64-2.29),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136.0,0.271,43.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768.0,0.063,27.0,105,5,4.76,1.77 (0.65-2.89),100,95.24,3.29 (2.95-3.63)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.353,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.145,39.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.122,65.0,290,11,3.79,2.46 (1.54-3.39),279,96.21,3.88 (3.65-4.11)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
