tipo_celular,module_size,WASF3_MM,WASF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.133,52.0,166,6,3.61,2.06 (0.67-3.45),160,96.39,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,14,3.97,1.49 (0.89-2.09),339,96.03,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,599.0,0.306,87.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,380.0,0.173,50.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.088,10.0,410,13,3.17,2.81 (1.96-3.66),397,96.83,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,77.0,0.158,40.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,338.0,0.115,42.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,275.0,0.241,65.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.187,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.208,82.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,9,3.26,1.87 (1.12-2.61),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,806.0,0.212,65.0,261,10,3.83,3.56 (3.07-4.06),251,96.17,4.39 (4.14-4.64)
connective tissue cells 21,95.0,0.27,42.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1768.0,0.164,95.0,105,6,5.71,1.16 (0.57-1.75),99,94.29,3.35 (3.01-3.68)
oligodendrocytes 16,85.0,0.292,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.205,86.0,124,2,1.61,5.45 (NA-NA),122,98.39,4.17 (3.77-4.56)
astrocytes microglia 23,126.0,0.285,32.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,752.0,0.143,34.0,96,3,3.12,3.92 (3.26-4.59),93,96.88,3.26 (2.92-3.60)
oligodendrocytes 0,2078.0,0.13,81.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.09,61.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.114,8.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
