tipo_celular,module_size,C1GALT1_MM,C1GALT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.132,31.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,610.0,0.158,57.0,98,9,9.18,1.21 (0.48-1.94),89,90.82,3.34 (3.03-3.64)
astrocytes 5,1656.0,0.114,46.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,666.0,0.131,23.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,459.0,0.116,28.0,165,5,3.03,3.66 (2.51-4.81),160,96.97,5.13 (4.77-5.48)
GLU like neurons 17,637.0,0.119,32.0,91,11,12.09,1.79 (0.80-2.78),80,87.91,5.08 (4.59-5.56)
da like neurons 11,140.0,0.224,49.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.251,65.0,120,19,15.83,4.77 (4.09-5.44),101,84.17,4.57 (4.22-4.93)
oligodendrocytes 20,358.0,0.196,70.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.141,52.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.212,69.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.106,47.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,1277.0,0.13,64.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.412,95.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,208.0,0.021,3.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,86.0,0.167,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.249,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,67.0,104,8,7.69,2.20 (1.44-2.97),96,92.31,2.92 (2.63-3.22)
oligodendrocytes 0,1186.0,0.118,14.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.12,65.0,161,12,7.45,1.44 (0.76-2.12),149,92.55,3.46 (3.19-3.72)
oligodendrocytes 3,1003.0,0.103,58.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,347.0,0.128,11.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
