tipo_celular,module_size,PDXDC1_MM,PDXDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.196,73.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282,0.095,5.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328,0.183,58.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.196,68.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,1069,0.148,38.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300,0.242,86.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,215,0.351,88.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,80,0.146,32.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.102,28.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938,0.202,81.0,169,2,1.18,1.39 (-0.26-3.05),167,98.82,3.51 (3.29-3.73)
GABA like neurons 14,2402,0.086,5.0,455,8,1.76,0.73 (0.29-1.18),447,98.24,4.43 (4.25-4.61)
astrocytes 8,603,0.087,57.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,218,0.355,75.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.159,55.0,358,9,2.51,0.99 (0.33-1.65),349,97.49,3.96 (3.77-4.15)
connective tissue cells 21,116,0.257,34.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768,0.13,84.0,105,3,2.86,1.58 (0.56-2.60),102,97.14,3.26 (2.93-3.60)
oligodendrocytes 16,88,0.143,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.07,4.0,138,3,2.17,1.37 (-0.53-3.28),135,97.83,4.91 (4.55-5.28)
astrocytes microglia 23,190,0.263,48.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,208,0.153,26.0,173,1,0.58,NA,172,99.42,3.80 (3.50-4.10)
oligodendrocytes 0,613,0.143,51.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.103,40.0,161,9,5.59,0.99 (0.33-1.65),152,94.41,3.44 (3.18-3.70)
oligodendrocytes 3,743,0.074,39.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526,0.091,4.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
