tipo_celular,module_size,PLA2G6_MM,PLA2G6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.137,83.0,136,4,2.94,2.86 (0.82-4.91),132,97.06,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.027,4.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.053,26.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.033,4.0,277,7,2.53,5.55 (4.21-6.88),270,97.47,3.83 (3.59-4.08)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.038,9.0,10,6,60.0,3.80 (1.29-6.31),4,40.0,3.58 (0.93-6.24)
oligodendrocytes 16,81.0,0.133,8.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.35,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.176,95.0,104,22,21.15,2.07 (1.47-2.67),82,78.85,3.07 (2.77-3.37)
oligodendrocytes 0,479.0,0.091,3.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.055,9.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.118,11.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
