tipo_celular,module_size,KSR1_MM,KSR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.299,89.0,73,12,16.44,4.10 (3.86-4.35),61,83.56,3.43 (3.01-3.85)
T cells 18,477.0,0.142,37.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47)
astrocytes 5,423.0,0.217,80.0,80,5,6.25,3.28 (2.13-4.43),75,93.75,3.41 (2.91-3.92)
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,39,11.05,2.22 (1.80-2.63),314,88.95,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,380.0,0.188,61.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853.0,0.158,66.0,133,22,16.54,2.24 (1.61-2.86),111,83.46,3.50 (3.16-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.358,85.0,54,1,1.85,NA,53,98.15,4.84 (4.22-5.46)
oligodendrocytes 20,298.0,0.455,98.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.177,66.0,74,3,4.05,2.56 (1.82-3.29),71,95.95,2.96 (2.57-3.35)
astrocytes 8,577.0,0.143,79.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,37,13.41,2.57 (2.20-2.94),239,86.59,3.75 (3.51-3.99)
oligodendrocytes 10,1277.0,0.152,73.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,104.0,0.205,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.045,13.0,96,5,5.21,2.77 (1.72-3.81),91,94.79,3.67 (3.20-4.14)
oligodendrocytes 16,151.0,0.302,97.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.259,19.0,11,3,27.27,5.03 (4.76-5.30),8,72.73,4.06 (3.37-4.75)
astrocytes 4,514.0,0.237,72.0,95,17,17.89,2.74 (2.14-3.34),78,82.11,3.56 (3.05-4.07)
oligodendrocytes 0,1186.0,0.166,83.0,300,10,3.33,3.74 (3.38-4.09),290,96.67,3.80 (3.58-4.01)
microglia 1,480.0,0.233,68.0,163,23,14.11,3.91 (3.48-4.34),140,85.89,3.67 (3.37-3.98)
oligodendrocytes 3,1003.0,0.128,76.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.141,20.0,114,3,2.63,5.44 (2.02-8.86),111,97.37,5.11 (4.69-5.52)
