tipo_celular,module_size,SRD5A3_MM,SRD5A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.217,64.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.144,55.0,125,2,1.6,4.36 (1.69-7.02),123,98.4,3.33 (3.01-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.056,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.287,81.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.13,31.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.065,22.0,15,7,46.67,2.26 (0.45-4.07),8,53.33,4.54 (2.82-6.27)
oligodendrocytes 2,1630.0,0.126,21.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
