tipo_celular,module_size,NPTN_MM,NPTN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.157,44.0,140,1,0.71,5.30 (NA-NA),139,99.29,4.50 (4.07-4.92)
T cells 18,282,0.113,26.0,241,2,0.83,3.48 (3.47-3.49),239,99.17,4.06 (3.81-4.32)
astrocytes 5,228,0.15,38.0,266,21,7.89,3.92 (3.24-4.59),245,92.11,4.13 (3.91-4.36)
oligodendrocyte progenitor cells 7,296,0.192,57.0,251,3,1.2,3.90 (3.90-3.90),248,98.8,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.126,13.0,262,33,12.6,4.42 (3.72-5.12),229,87.4,4.10 (3.84-4.36)
GLU like neurons 17,1316,0.145,68.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.175,49.0,410,9,2.2,3.22 (2.45-3.99),401,97.8,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,357,0.112,22.0,237,9,3.8,3.93 (3.63-4.23),228,96.2,4.43 (4.19-4.68)
endothelial cells 9,1653,0.103,29.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.102,21.0,36,9,25.0,2.03 (1.52-2.55),27,75.0,1.88 (1.44-2.32)
GABA like neurons 14,2402,0.277,61.0,455,10,2.2,2.16 (1.11-3.21),445,97.8,4.41 (4.22-4.59)
astrocytes 8,520,0.264,82.0,288,15,5.21,3.63 (2.72-4.55),273,94.79,4.21 (4.00-4.41)
oligodendrocyte progenitor cells 12,3303,0.115,87.0,276,26,9.42,2.08 (1.70-2.45),250,90.58,3.75 (3.52-3.98)
oligodendrocytes 10,806,0.306,80.0,261,20,7.66,5.11 (4.36-5.85),241,92.34,4.28 (4.03-4.54)
connective tissue cells 21,111,0.279,50.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768,0.053,16.0,105,15,14.29,1.56 (1.15-1.96),90,85.71,3.51 (3.16-3.87)
oligodendrocytes 16,313,0.225,53.0,291,13,4.47,3.61 (3.01-4.20),278,95.53,4.37 (4.13-4.60)
da neurons 6,300,0.204,64.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,44,0.259,33.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,721,0.141,30.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078,0.103,27.0,238,8,3.36,2.68 (1.90-3.46),230,96.64,3.68 (3.45-3.90)
microglia 1,214,0.115,18.0,227,9,3.96,3.83 (3.10-4.57),218,96.04,4.11 (3.86-4.35)
oligodendrocytes 3,457,0.16,68.0,345,22,6.38,3.59 (3.16-4.02),323,93.62,4.34 (4.11-4.56)
oligodendrocytes 2,99,0.175,30.0,116,2,1.72,3.48 (3.47-3.49),114,98.28,3.97 (3.66-4.27)
