tipo_celular,module_size,ANXA11_MM,ANXA11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.205,56.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624.0,0.18,72.0,142,3,2.11,3.71 (2.39-5.04),139,97.89,3.20 (2.93-3.47)
astrocytes 5,322.0,0.104,11.0,58,3,5.17,4.44 (4.44-4.44),55,94.83,4.16 (3.70-4.61)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.261,87.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.104,26.0,155,7,4.52,4.85 (4.04-5.66),148,95.48,4.32 (3.94-4.69)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.056,21.0,66,19,28.79,2.12 (1.43-2.81),47,71.21,3.78 (3.34-4.21)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.205,10.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401.0,0.157,90.0,96,5,5.21,2.92 (1.44-4.40),91,94.79,3.66 (3.19-4.13)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.314,50.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807.0,0.129,22.0,104,15,14.42,2.07 (1.47-2.67),89,85.58,3.01 (2.70-3.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.088,3.0,163,2,1.23,5.10 (NA-NA),161,98.77,3.70 (3.43-3.96)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
