tipo_celular,module_size,COG7_MM,COG7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.157,54.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.087,17.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.175,95.0,353,54,15.3,2.54 (2.13-2.94),299,84.7,4.23 (4.04-4.41)
GABA neurons expressing GLU receptors 22,487.0,0.088,4.0,73,4,5.48,1.47 (1.35-1.59),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,685.0,0.077,14.0,135,17,12.59,1.91 (1.41-2.40),118,87.41,3.41 (3.08-3.74)
da like neurons 11,853.0,0.059,3.0,133,20,15.04,1.50 (1.09-1.91),113,84.96,3.63 (3.31-3.95)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.091,9.0,120,6,5.0,3.14 (2.48-3.81),114,95.0,4.70 (4.37-5.02)
oligodendrocytes 20,938.0,0.076,25.0,169,18,10.65,2.97 (2.26-3.68),151,89.35,3.56 (3.33-3.78)
GABA like neurons 14,2090.0,0.173,63.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.073,40.0,66,17,25.76,1.46 (1.06-1.86),49,74.24,3.98 (3.59-4.36)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,35,12.68,2.60 (2.15-3.05),241,87.32,3.73 (3.49-3.97)
oligodendrocytes 10,2107.0,0.076,16.0,358,47,13.13,2.34 (1.92-2.75),311,86.87,4.19 (4.00-4.38)
connective tissue cells 21,96.0,0.348,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.091,54.0,105,27,25.71,2.18 (1.72-2.64),78,74.29,3.61 (3.22-4.00)
oligodendrocytes 16,121.0,0.195,38.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.321,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.142,32.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078.0,0.141,95.0,238,13,5.46,3.35 (2.49-4.21),225,94.54,3.66 (3.43-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.06,17.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.122,16.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
