tipo_celular,module_size,ARHGAP26_MM,ARHGAP26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.197,71.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,388,0.179,65.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,222,0.281,78.0,98,7,7.14,4.37 (2.72-6.02),91,92.86,4.62 (4.20-5.04)
oligodendrocyte progenitor cells 7,200,0.348,92.0,16,2,12.5,6.38 (4.00-8.75),14,87.5,3.52 (2.87-4.17)
GABA neurons expressing GLU receptors 22,192,0.213,79.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489,0.233,85.0,42,1,2.38,4.85 (NA-NA),41,97.62,6.03 (5.46-6.60)
da like neurons 11,108,0.461,98.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,200,0.148,48.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82)
endothelial cells 9,412,0.271,83.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,228,0.367,93.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,1300,0.267,77.0,306,35,11.44,3.36 (2.77-3.96),271,88.56,5.43 (5.17-5.70)
astrocytes 8,279,0.239,35.0,78,14,17.95,2.82 (2.40-3.24),64,82.05,4.67 (4.22-5.13)
oligodendrocyte progenitor cells 12,708,0.151,67.0,25,4,16.0,3.19 (0.82-5.57),21,84.0,2.79 (1.69-3.89)
oligodendrocytes 10,2107,0.427,99.0,358,22,6.15,2.03 (1.29-2.77),336,93.85,4.03 (3.84-4.21)
connective tissue cells 21,147,0.331,90.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.382,82.0,54,7,12.96,3.91 (2.86-4.96),47,87.04,3.64 (3.16-4.13)
oligodendrocytes 16,108,0.462,99.0,5,4,80.0,4.09 (2.79-5.38),1,20.0,3.52 (NA-NA)
da neurons 6,398,0.138,45.0,138,26,18.84,3.25 (2.63-3.86),112,81.16,5.28 (4.88-5.67)
astrocytes microglia 23,229,0.236,30.0,99,10,10.1,4.51 (3.53-5.50),89,89.9,4.27 (3.91-4.63)
astrocytes 4,255,0.181,57.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32)
oligodendrocytes 0,1186,0.058,1.0,300,8,2.67,3.62 (3.20-4.05),292,97.33,3.80 (3.59-4.01)
microglia 1,813,0.286,99.0,79,5,6.33,2.64 (2.09-3.20),74,93.67,3.14 (2.71-3.57)
oligodendrocytes 3,94,0.263,89.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347,0.322,88.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
