tipo_celular,module_size,ST3GAL6_MM,ST3GAL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.227,83.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.147,51.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.167,50.0,127,6,4.72,4.23 (2.18-6.29),121,95.28,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.277,93.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,1316.0,0.138,63.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,289.0,0.197,56.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.315,81.0,120,9,7.5,3.25 (2.66-3.84),111,92.5,4.74 (4.41-5.07)
oligodendrocytes 20,676.0,0.013,2.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.198,91.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354.0,0.141,61.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218.0,0.387,88.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.178,62.0,358,18,5.03,1.41 (0.91-1.91),340,94.97,4.04 (3.85-4.22)
connective tissue cells 21,147.0,0.2,34.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1401.0,0.039,8.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,96.0,0.122,3.0,102,16,15.69,1.79 (1.06-2.52),86,84.31,3.60 (3.27-3.94)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.279,44.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,255.0,0.192,62.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,187.0,0.31,91.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.193,99.0,161,17,10.56,1.38 (0.86-1.90),144,89.44,3.55 (3.29-3.82)
oligodendrocytes 3,1003.0,0.194,95.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.119,9.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
