tipo_celular,module_size,DGCR2_MM,DGCR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.1,11.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,624,0.132,32.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.127,75.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.13,42.0,353,0,0.0,NA,353,100.0,3.89 (3.70-4.08)
GABA neurons expressing GLU receptors 22,1069,0.247,93.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685,0.095,26.0,135,1,0.74,1.29 (NA-NA),134,99.26,3.21 (2.90-3.51)
da like neurons 11,853,0.085,14.0,133,0,0.0,NA,133,100.0,3.25 (2.94-3.57)
GABA neurons expressing GABA receptors 13,265,0.099,11.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,1653,0.102,28.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348,0.046,20.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052,0.196,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.082,50.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65)
oligodendrocyte progenitor cells 12,708,0.256,82.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,806,0.114,32.0,261,2,0.77,1.29 (NA-NA),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,126,0.306,64.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,1768,0.104,66.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,105,0.158,17.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,307,0.111,41.0,95,1,1.05,NA,94,98.95,4.85 (4.41-5.28)
astrocytes microglia 23,41,0.292,33.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,721,0.185,95.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.11,9.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.088,20.0,161,0,0.0,NA,161,100.0,3.27 (3.00-3.54)
oligodendrocytes 3,681,0.065,21.0,87,0,0.0,NA,87,100.0,2.58 (2.31-2.85)
oligodendrocytes 2,921,0.158,82.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
