tipo_celular,module_size,TXNIP_MM,TXNIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.248,79.0,73,1,1.37,3.41 (NA-NA),72,98.63,3.57 (3.22-3.92)
T cells 18,506.0,0.39,85.0,225,4,1.78,2.19 (1.02-3.37),221,98.22,3.65 (3.39-3.90)
astrocytes 5,1141.0,0.112,24.0,166,4,2.41,1.51 (0.22-2.80),162,97.59,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,628.0,0.188,63.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.5,90.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54)
oligodendrocytes 20,348.0,0.146,55.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.123,70.0,83,2,2.41,2.70 (-0.88-6.27),81,97.59,3.27 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,12,4.35,2.25 (1.44-3.06),264,95.65,3.61 (3.38-3.83)
oligodendrocytes 10,483.0,0.267,79.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,142.0,0.326,53.0,55,0,0.0,NA,55,100.0,3.42 (2.58-4.26)
astrocytes 15,443.0,0.263,95.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,81.0,0.097,4.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.283,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.177,47.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.202,100.0,238,3,1.26,2.09 (-0.10-4.27),235,98.74,3.66 (3.44-3.88)
microglia 1,1615.0,0.199,100.0,161,8,4.97,1.42 (0.48-2.37),153,95.03,3.38 (3.11-3.64)
oligodendrocytes 3,1003.0,0.085,38.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.204,54.0,114,4,3.51,3.01 (2.73-3.29),110,96.49,5.22 (4.81-5.64)
