tipo_celular,module_size,SH3D19_MM,SH3D19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.114,12.0,51,1,1.96,5.98 (NA-NA),50,98.04,5.33 (4.65-6.01)
oligodendrocyte progenitor cells 7,436.0,0.127,49.0,219,6,2.74,4.69 (2.90-6.47),213,97.26,5.23 (4.94-5.52)
GABA neurons expressing GLU receptors 22,567.0,0.302,81.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,795.0,0.183,72.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,87.0,0.388,78.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.246,57.0,62,1,1.61,5.98 (NA-NA),61,98.39,4.01 (3.56-4.46)
oligodendrocytes 20,676.0,0.759,100.0,110,13,11.82,3.13 (1.89-4.36),97,88.18,5.36 (4.94-5.79)
GABA like neurons 14,3052.0,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.242,73.0,48,2,4.17,4.53 (-2.81-11.88),46,95.83,4.42 (3.68-5.16)
oligodendrocyte progenitor cells 12,254.0,0.07,17.0,37,5,13.51,2.74 (2.48-3.00),32,86.49,4.83 (4.23-5.44)
oligodendrocytes 10,236.0,0.618,82.0,82,7,8.54,4.67 (3.16-6.18),75,91.46,5.03 (4.48-5.59)
connective tissue cells 21,114.0,0.234,37.0,19,2,10.53,4.05 (1.74-6.37),17,89.47,5.01 (4.25-5.77)
astrocytes 15,458.0,0.221,86.0,36,1,2.78,8.28 (NA-NA),35,97.22,3.57 (2.51-4.63)
oligodendrocytes 16,287.0,0.426,83.0,105,15,14.29,2.99 (1.91-4.07),90,85.71,5.64 (5.27-6.01)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.306,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.109,4.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261.0,0.181,45.0,42,12,28.57,2.49 (1.47-3.50),30,71.43,5.01 (4.36-5.65)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.279,76.0,24,2,8.33,7.13 (4.87-9.39),22,91.67,6.41 (5.67-7.15)
oligodendrocytes 2,237.0,0.255,67.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
