tipo_celular,module_size,NONO_MM,NONO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.287,93.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,477.0,0.133,31.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,59,16.71,2.15 (1.85-2.46),294,83.29,4.35 (4.17-4.53)
GABA neurons expressing GLU receptors 22,400.0,0.215,60.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.389,100.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,559.0,0.1,24.0,155,3,1.94,3.28 (3.00-3.56),152,98.06,4.36 (3.99-4.73)
oligodendrocytes 20,348.0,0.021,2.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22)
GABA like neurons 14,2402.0,0.236,52.0,455,30,6.59,2.31 (1.60-3.01),425,93.41,4.55 (4.37-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,44,15.94,1.93 (1.70-2.16),232,84.06,3.94 (3.72-4.17)
oligodendrocytes 10,483.0,0.138,58.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,125.0,0.405,92.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.187,43.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.078,8.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,96.0,0.297,37.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.106,33.0,238,12,5.04,2.40 (1.82-2.98),226,94.96,3.71 (3.48-3.93)
microglia 1,958.0,0.091,19.0,290,23,7.93,2.91 (2.35-3.47),267,92.07,3.91 (3.67-4.15)
oligodendrocytes 3,743.0,0.08,48.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.173,96.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
