tipo_celular,module_size,MAML2_MM,MAML2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.144,45.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388.0,0.126,36.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,499.0,0.097,7.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.056,6.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,192.0,0.161,68.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,685.0,0.415,97.0,135,23,17.04,1.88 (1.52-2.25),112,82.96,3.52 (3.18-3.86)
da like neurons 11,408.0,0.263,68.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.387,78.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.17,41.0,28,9,32.14,2.72 (2.18-3.27),19,67.86,1.95 (1.36-2.55)
GABA like neurons 14,1300.0,0.173,33.0,306,11,3.59,1.98 (1.28-2.67),295,96.41,5.27 (5.01-5.52)
astrocytes 8,1266.0,0.217,96.0,66,17,25.76,2.05 (1.31-2.78),49,74.24,3.69 (3.25-4.12)
oligodendrocyte progenitor cells 12,708.0,0.224,78.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.241,80.0,358,56,15.64,2.05 (1.77-2.34),302,84.36,4.33 (4.15-4.52)
connective tissue cells 21,147.0,0.22,43.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418.0,0.162,54.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,108.0,0.298,85.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.191,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.14,34.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82)
oligodendrocytes 0,309.0,0.208,86.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.093,10.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,1003.0,0.18,92.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804.0,0.166,66.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
