tipo_celular,module_size,ECHS1_MM,ECHS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.118,12.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.191,54.0,410,4,0.98,2.28 (0.94-3.62),406,99.02,4.27 (4.09-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.087,3.0,213,15,7.04,1.23 (0.74-1.71),198,92.96,4.01 (3.78-4.24)
endothelial cells 9,916.0,0.172,39.0,302,3,0.99,1.71 (0.06-3.37),299,99.01,4.01 (3.79-4.24)
oligodendrocytes 20,938.0,0.178,73.0,169,4,2.37,1.48 (0.09-2.87),165,97.63,3.54 (3.32-3.76)
GABA like neurons 14,2402.0,0.381,77.0,455,15,3.3,1.37 (0.84-1.90),440,96.7,4.48 (4.30-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.201,89.0,277,2,0.72,3.27 (2.98-3.56),275,99.28,3.90 (3.66-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.207,54.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,729.0,0.141,44.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.107,14.0,252,15,5.95,1.29 (0.81-1.77),237,94.05,4.33 (4.10-4.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.078,20.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.237,43.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
