tipo_celular,module_size,GSTK1_MM,GSTK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.226,63.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506.0,0.138,29.0,225,9,4.0,2.65 (1.21-4.09),216,96.0,3.64 (3.39-3.89)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,20,5.67,1.51 (1.00-2.02),333,94.33,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.069,6.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.144,30.0,302,9,2.98,2.79 (1.73-3.85),293,97.02,4.03 (3.80-4.26)
oligodendrocytes 20,938.0,0.147,61.0,169,11,6.51,2.64 (1.32-3.95),158,93.49,3.53 (3.31-3.74)
GABA like neurons 14,2402.0,0.166,30.0,455,21,4.62,1.89 (1.19-2.59),434,95.38,4.48 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.302,86.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,735.0,0.057,18.0,277,2,0.72,3.80 (2.47-5.12),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,111.0,0.296,57.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.178,26.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729.0,0.102,23.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89)
astrocytes microglia 23,107.0,0.321,55.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.193,69.0,2,0,0.0,NA,2,100.0,NA
microglia 1,406.0,0.099,15.0,278,4,1.44,NA,274,98.56,4.36 (4.09-4.63)
oligodendrocytes 3,743.0,0.137,91.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.229,40.0,213,4,1.88,4.47 (NA-NA),209,98.12,3.98 (3.70-4.25)
