tipo_celular,module_size,SAE1_MM,SAE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.101,12.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,477.0,0.111,16.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.132,24.0,127,11,8.66,3.12 (1.85-4.38),116,91.34,3.94 (3.60-4.27)
GABA neurons expressing GLU receptors 22,848.0,0.177,36.0,262,19,7.25,3.99 (3.05-4.93),243,92.75,4.18 (3.92-4.43)
GLU like neurons 17,380.0,0.172,49.0,39,4,10.26,2.98 (1.74-4.22),35,89.74,2.96 (2.36-3.57)
da like neurons 11,853.0,0.091,19.0,133,20,15.04,1.66 (1.20-2.13),113,84.96,3.60 (3.27-3.92)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.056,4.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,253.0,0.046,10.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.134,35.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,38,13.77,2.44 (2.06-2.82),238,86.23,3.78 (3.54-4.01)
oligodendrocytes 10,735.0,0.079,37.0,277,10,3.61,6.32 (5.63-7.02),267,96.39,3.81 (3.57-4.05)
connective tissue cells 21,112.0,0.22,40.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,85.0,0.363,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.075,20.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,114.0,0.332,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.107,35.0,238,12,5.04,3.04 (2.34-3.73),226,94.96,3.67 (3.44-3.90)
microglia 1,958.0,0.096,26.0,290,27,9.31,3.81 (2.98-4.64),263,90.69,3.81 (3.58-4.05)
oligodendrocytes 3,357.0,0.055,14.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.142,50.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
