tipo_celular,module_size,ATF1_MM,ATF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.126,29.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624.0,0.122,25.0,142,1,0.7,NA,141,99.3,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.104,31.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,50,14.16,1.87 (1.61-2.12),303,85.84,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,459.0,0.134,38.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,1247.0,0.132,49.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,265.0,0.158,36.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.104,30.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,253.0,0.077,18.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.139,40.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,260.0,0.103,37.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.059,26.0,276,46,16.67,1.96 (1.74-2.17),230,83.33,3.97 (3.74-4.20)
oligodendrocytes 10,2107.0,0.108,33.0,358,62,17.32,1.92 (1.69-2.15),296,82.68,4.45 (4.28-4.63)
connective tissue cells 21,73.0,0.457,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.06,25.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20)
oligodendrocytes 16,91.0,0.38,97.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.352,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.14,42.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61)
oligodendrocytes 0,2078.0,0.099,20.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96)
microglia 1,958.0,0.097,27.0,290,8,2.76,1.68 (1.02-2.34),282,97.24,3.89 (3.66-4.12)
oligodendrocytes 3,681.0,0.078,34.0,87,45,51.72,2.00 (1.77-2.22),42,48.28,3.34 (2.90-3.77)
oligodendrocytes 2,1630.0,0.141,48.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
