tipo_celular,module_size,CWC22_MM,CWC22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.296,82.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518.0,0.081,4.0,131,6,4.58,3.02 (2.71-3.33),125,95.42,3.08 (2.79-3.37)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.168,92.0,353,55,15.58,2.10 (1.73-2.47),298,84.42,4.31 (4.14-4.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.117,45.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,132.0,0.184,35.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.094,40.0,275,59,21.45,2.37 (1.93-2.80),216,78.55,4.58 (4.33-4.83)
oligodendrocytes 20,938.0,0.11,42.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76)
GABA like neurons 14,3052.0,0.162,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,10,4.26,3.24 (2.81-3.68),225,95.74,3.85 (3.61-4.09)
oligodendrocytes 10,2107.0,0.112,34.0,358,60,16.76,2.16 (1.78-2.54),298,83.24,4.33 (4.15-4.50)
connective tissue cells 21,111.0,0.359,79.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,88.0,0.265,87.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.27,19.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.127,76.0,238,7,2.94,2.42 (1.24-3.60),231,97.06,3.68 (3.46-3.90)
microglia 1,1615.0,0.095,27.0,161,43,26.71,1.64 (1.38-1.91),118,73.29,4.01 (3.75-4.26)
oligodendrocytes 3,854.0,0.081,40.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.158,82.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
