tipo_celular,module_size,MRPL33_MM,MRPL33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.09,14.0,136,5,3.68,1.72 (1.30-2.13),131,96.32,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,25,7.08,1.37 (1.06-1.68),328,92.92,4.14 (3.97-4.32)
GABA neurons expressing GLU receptors 22,400.0,0.27,84.0,24,14,58.33,1.31 (0.88-1.75),10,41.67,3.33 (2.89-3.78)
GLU like neurons 17,685.0,0.1,29.0,135,15,11.11,1.88 (1.43-2.33),120,88.89,3.39 (3.06-3.72)
da like neurons 11,61.0,0.153,29.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.238,59.0,302,20,6.62,2.69 (2.26-3.11),282,93.38,4.11 (3.87-4.35)
oligodendrocytes 20,330.0,0.207,60.0,36,6,16.67,1.79 (1.34-2.25),30,83.33,1.95 (1.53-2.36)
GABA like neurons 14,2402.0,0.148,24.0,455,33,7.25,1.95 (1.60-2.30),422,92.75,4.61 (4.43-4.79)
astrocytes 8,727.0,0.031,2.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.041,14.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,483.0,0.055,13.0,129,4,3.1,3.11 (2.68-3.54),125,96.9,3.44 (3.03-3.85)
connective tissue cells 21,102.0,0.471,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.089,47.0,36,2,5.56,3.36 (2.60-4.12),34,94.44,3.80 (2.62-4.99)
oligodendrocytes 16,121.0,0.229,60.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.348,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.093,1.0,104,14,13.46,1.41 (1.03-1.80),90,86.54,3.11 (2.82-3.40)
oligodendrocytes 0,2078.0,0.069,1.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.049,6.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.103,4.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54)
