tipo_celular,module_size,ZNF76_MM,ZNF76_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.491,99.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.122,33.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.096,21.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,36,10.2,2.12 (1.80-2.45),317,89.8,4.16 (3.97-4.35)
GABA neurons expressing GLU receptors 22,703.0,0.124,17.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.137,52.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,97.0,0.203,54.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.451,94.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.18,68.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,262.0,0.079,18.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,35,12.68,1.93 (1.70-2.17),241,87.32,3.86 (3.63-4.09)
oligodendrocytes 10,2107.0,0.117,37.0,358,44,12.29,2.01 (1.77-2.26),314,87.71,4.23 (4.04-4.42)
connective tissue cells 21,152.0,0.246,42.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1401.0,0.024,2.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,121.0,0.315,95.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.301,39.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.142,44.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,2078.0,0.102,26.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96)
microglia 1,1615.0,0.085,15.0,161,38,23.6,2.10 (1.83-2.36),123,76.4,3.75 (3.43-4.06)
oligodendrocytes 3,639.0,0.05,7.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,1630.0,0.151,68.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
