tipo_celular,module_size,GALNT10_MM,GALNT10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.175,31.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727.0,0.233,95.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,499.0,0.105,10.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.19,79.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,703.0,0.361,99.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,685.0,0.077,14.0,135,10,7.41,1.47 (0.99-1.95),125,92.59,3.36 (3.04-3.67)
da like neurons 11,108.0,0.451,97.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.139,59.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,233.0,0.276,80.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.173,78.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.14,69.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143.0,0.453,69.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.252,83.0,358,21,5.87,1.48 (1.01-1.95),337,94.13,4.06 (3.88-4.25)
connective tissue cells 21,106.0,0.288,63.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401.0,0.182,95.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,90.0,0.169,31.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.187,15.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,161.0,0.137,21.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479.0,0.15,48.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,958.0,0.124,69.0,290,1,0.34,1.96 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,1003.0,0.101,56.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.142,15.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
