tipo_celular,module_size,MRPL48_MM,MRPL48_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,27,7.65,1.36 (1.06-1.66),326,92.35,4.17 (4.00-4.34)
GABA neurons expressing GLU receptors 22,400.0,0.238,72.0,24,14,58.33,1.31 (0.88-1.75),10,41.67,3.33 (2.89-3.78)
GLU like neurons 17,1316.0,0.088,17.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.126,50.0,169,16,9.47,2.12 (1.68-2.55),153,90.53,3.66 (3.43-3.88)
GABA like neurons 14,2402.0,0.098,8.0,455,34,7.47,1.91 (1.56-2.26),421,92.53,4.62 (4.45-4.80)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.057,16.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.053,6.0,358,23,6.42,1.21 (0.92-1.51),335,93.58,4.11 (3.93-4.29)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.173,42.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.421,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.113,47.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.068,23.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.127,22.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54)
