tipo_celular,module_size,PPIB_MM,PPIB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.313,95.0,97,5,5.15,5.50 (3.63-7.37),92,94.85,2.89 (2.52-3.27)
T cells 18,506.0,0.171,45.0,225,26,11.56,3.02 (2.27-3.76),199,88.44,3.69 (3.43-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.283,88.0,164,7,4.27,4.20 (3.01-5.39),157,95.73,4.08 (3.74-4.42)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.188,53.0,410,23,5.61,3.91 (2.88-4.94),387,94.39,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.217,78.0,213,36,16.9,2.42 (1.69-3.16),177,83.1,4.04 (3.82-4.27)
endothelial cells 9,916.0,0.433,88.0,302,12,3.97,3.60 (2.39-4.81),290,96.03,4.00 (3.77-4.23)
oligodendrocytes 20,938.0,0.199,80.0,169,21,12.43,3.34 (2.41-4.28),148,87.57,3.50 (3.27-3.72)
GABA like neurons 14,2402.0,0.523,90.0,455,42,9.23,2.57 (1.91-3.22),413,90.77,4.55 (4.38-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.376,95.0,235,15,6.38,4.52 (3.41-5.63),220,93.62,3.78 (3.55-4.02)
oligodendrocytes 10,483.0,0.144,59.0,129,7,5.43,5.27 (3.75-6.80),122,94.57,3.33 (2.93-3.73)
connective tissue cells 21,301.0,0.618,94.0,158,14,8.86,3.55 (2.33-4.78),144,91.14,4.35 (3.97-4.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.275,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.186,67.0,182,6,3.3,1.44 (1.34-1.53),176,96.7,3.70 (3.45-3.95)
astrocytes microglia 23,140.0,0.27,24.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.244,78.0,252,41,16.27,2.48 (1.84-3.11),211,83.73,4.44 (4.21-4.68)
microglia 1,406.0,0.344,72.0,278,4,1.44,4.97 (3.48-6.46),274,98.56,4.35 (4.07-4.62)
oligodendrocytes 3,303.0,0.133,48.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93)
oligodendrocytes 2,526.0,0.36,77.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
