tipo_celular,module_size,BDP1_MM,BDP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.312,95.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624,0.112,19.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.125,41.0,166,18,10.84,1.76 (1.30-2.21),148,89.16,3.64 (3.38-3.89)
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,32,9.07,1.67 (1.28-2.07),321,90.93,4.18 (4.01-4.36)
GABA neurons expressing GLU receptors 22,203,0.152,9.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247,0.143,57.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,137,0.306,60.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,80,0.141,26.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.078,12.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358,0.17,58.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,1300,0.239,65.0,306,4,1.31,1.41 (0.62-2.20),302,98.69,5.16 (4.91-5.42)
astrocytes 8,727,0.079,31.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.078,49.0,276,23,8.33,1.84 (1.51-2.17),253,91.67,3.75 (3.53-3.97)
oligodendrocytes 10,2107,0.153,52.0,358,32,8.94,1.58 (1.24-1.92),326,91.06,4.16 (3.98-4.34)
connective tissue cells 21,90,0.291,49.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,338,0.128,33.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,87,0.165,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.082,10.0,138,5,3.62,1.72 (0.40-3.04),133,96.38,4.96 (4.60-5.32)
astrocytes microglia 23,58,0.325,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.133,22.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.142,44.0,300,2,0.67,3.32 (2.48-4.16),298,99.33,3.80 (3.59-4.00)
microglia 1,813,0.098,26.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,357,0.225,92.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804,0.116,11.0,84,5,5.95,1.06 (0.47-1.64),79,94.05,2.82 (2.48-3.16)
