tipo_celular,module_size,CCDC59_MM,CCDC59_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.152,95.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,16,4.53,1.58 (1.03-2.13),337,95.47,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,714.0,0.142,26.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,795.0,0.102,31.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,265.0,0.13,25.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.11,57.0,275,16,5.82,1.58 (1.03-2.13),259,94.18,4.17 (3.91-4.43)
oligodendrocytes 20,271.0,0.216,67.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.145,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.104,38.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,1049.0,0.059,25.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,1277.0,0.084,33.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.067,30.0,105,9,8.57,1.84 (1.32-2.36),96,91.43,3.35 (3.00-3.71)
oligodendrocytes 16,116.0,0.166,24.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.35,64.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.15,61.0,104,12,11.54,1.98 (1.41-2.54),92,88.46,2.99 (2.69-3.29)
oligodendrocytes 0,613.0,0.139,46.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.134,79.0,87,10,11.49,1.82 (1.15-2.50),77,88.51,2.69 (2.40-2.98)
oligodendrocytes 2,921.0,0.162,86.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89)
