tipo_celular,module_size,HSBP1_MM,HSBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.395,99.0,21,12,57.14,1.55 (0.94-2.17),9,42.86,3.42 (2.62-4.21)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.201,70.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.295,75.0,262,10,3.82,2.81 (1.39-4.23),252,96.18,4.22 (3.97-4.47)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.22,63.0,410,7,1.71,2.15 (1.06-3.24),403,98.29,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.135,30.0,213,16,7.51,1.18 (0.74-1.62),197,92.49,4.04 (3.81-4.26)
endothelial cells 9,916.0,0.278,67.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,250.0,0.156,37.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.537,91.0,455,26,5.71,1.95 (1.34-2.56),429,94.29,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.181,81.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.223,93.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,142.0,0.414,95.0,55,14,25.45,2.20 (0.92-3.48),41,74.55,3.99 (3.00-4.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.226,52.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729.0,0.183,66.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93)
astrocytes microglia 23,99.0,0.317,50.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.149,37.0,252,16,6.35,1.28 (0.82-1.74),236,93.65,4.35 (4.12-4.58)
microglia 1,406.0,0.116,24.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,457.0,0.121,54.0,345,8,2.32,2.65 (2.08-3.22),337,97.68,4.32 (4.11-4.53)
oligodendrocytes 2,526.0,0.251,47.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
