tipo_celular,module_size,TRIM33_MM,TRIM33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.182,68.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.278,99.0,98,29,29.59,1.75 (1.39-2.10),69,70.41,3.79 (3.47-4.11)
astrocytes 5,1141.0,0.16,85.0,166,45,27.11,2.58 (2.20-2.95),121,72.89,3.75 (3.45-4.05)
oligodendrocyte progenitor cells 7,4285.0,0.155,78.0,353,59,16.71,2.30 (1.99-2.62),294,83.29,4.30 (4.12-4.49)
GABA neurons expressing GLU receptors 22,823.0,0.11,11.0,23,5,21.74,2.59 (1.55-3.63),18,78.26,2.34 (1.44-3.24)
GLU like neurons 17,1247.0,0.087,17.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.326,87.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.151,68.0,297,9,3.03,4.06 (3.15-4.97),288,96.97,3.66 (3.46-3.87)
oligodendrocytes 20,228.0,0.193,48.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,3052.0,0.101,18.0,125,5,4.0,3.28 (2.73-3.82),120,96.0,3.35 (3.02-3.68)
astrocytes 8,577.0,0.065,30.0,83,8,9.64,2.80 (1.90-3.69),75,90.36,3.31 (2.82-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.13,94.0,276,45,16.3,2.27 (1.94-2.60),231,83.7,3.86 (3.62-4.10)
oligodendrocytes 10,2107.0,0.25,82.0,358,67,18.72,2.37 (2.05-2.70),291,81.28,4.32 (4.13-4.52)
connective tissue cells 21,102.0,0.258,35.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,367.0,0.116,33.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,155.0,0.123,2.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.291,73.0,57,9,15.79,3.63 (2.87-4.39),48,84.21,2.44 (2.06-2.82)
astrocytes 4,752.0,0.181,88.0,96,15,15.62,3.43 (2.74-4.12),81,84.38,3.26 (2.89-3.63)
oligodendrocytes 0,1186.0,0.155,67.0,300,14,4.67,3.83 (3.42-4.24),286,95.33,3.79 (3.57-4.01)
microglia 1,958.0,0.124,68.0,290,12,4.14,2.83 (2.00-3.65),278,95.86,3.87 (3.63-4.10)
oligodendrocytes 3,1003.0,0.074,25.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,804.0,0.138,33.0,84,15,17.86,3.12 (2.25-3.98),69,82.14,2.59 (2.23-2.96)
