tipo_celular,module_size,DPYSL3_MM,DPYSL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.256,90.0,32,2,6.25,4.73 (4.73-4.73),30,93.75,5.06 (4.51-5.60)
oligodendrocyte progenitor cells 7,4285.0,0.139,57.0,353,22,6.23,1.58 (1.15-2.00),331,93.77,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.185,90.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42)
da like neurons 11,108.0,0.177,37.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,265.0,0.143,41.0,78,5,6.41,4.04 (2.36-5.72),73,93.59,4.38 (3.95-4.80)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.232,51.0,455,21,4.62,2.22 (1.48-2.97),434,95.38,4.47 (4.29-4.65)
astrocytes 8,577.0,0.188,91.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,14,5.07,2.01 (1.34-2.68),262,94.93,3.64 (3.42-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.371,89.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1401.0,0.226,98.0,96,25,26.04,4.45 (3.77-5.14),71,73.96,3.22 (2.68-3.77)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.08,12.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,327.0,0.35,58.0,120,25,20.83,2.62 (1.98-3.26),95,79.17,3.92 (3.60-4.23)
astrocytes 4,514.0,0.344,92.0,95,4,4.21,0.90 (0.75-1.04),91,95.79,3.48 (3.05-3.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
