tipo_celular,module_size,LRP1_MM,LRP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.159,51.0,97,3,3.09,3.43 (1.70-5.16),94,96.91,3.04 (2.64-3.44)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.123,26.0,128,5,3.91,3.73 (2.42-5.03),123,96.09,3.56 (3.21-3.91)
oligodendrocyte progenitor cells 7,628.0,0.348,94.0,164,24,14.63,4.55 (3.87-5.23),140,85.37,3.98 (3.61-4.34)
GABA neurons expressing GLU receptors 22,848.0,0.327,81.0,262,49,18.7,3.72 (3.32-4.13),213,81.3,4.30 (4.01-4.60)
GLU like neurons 17,229.0,0.199,50.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57)
da like neurons 11,265.0,0.189,52.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,265.0,0.107,16.0,78,20,25.64,4.02 (3.30-4.73),58,74.36,4.53 (4.03-5.03)
endothelial cells 9,586.0,0.318,70.0,62,7,11.29,4.32 (3.24-5.40),55,88.71,4.01 (3.52-4.50)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.149,47.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,279.0,0.216,26.0,78,31,39.74,3.73 (3.18-4.28),47,60.26,4.79 (4.23-5.35)
oligodendrocyte progenitor cells 12,254.0,0.346,68.0,37,16,43.24,3.61 (3.04-4.19),21,56.76,5.44 (4.64-6.24)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.31,32.0,158,26,16.46,3.95 (3.23-4.67),132,83.54,4.35 (3.92-4.77)
astrocytes 15,268.0,0.244,83.0,10,2,20.0,2.33 (1.53-3.13),8,80.0,4.14 (1.98-6.31)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.112,53.0,122,41,33.61,2.70 (2.29-3.12),81,66.39,4.92 (4.44-5.39)
astrocytes microglia 23,141.0,0.216,28.0,30,6,20.0,3.33 (1.99-4.67),24,80.0,6.54 (5.79-7.29)
astrocytes 4,251.0,0.196,72.0,34,9,26.47,4.10 (3.14-5.05),25,73.53,5.70 (5.02-6.37)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.142,47.0,43,7,16.28,4.13 (3.35-4.92),36,83.72,3.68 (3.08-4.28)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
