tipo_celular,module_size,PYGB_MM,PYGB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.205,72.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.108,49.0,80,1,1.25,6.08 (NA-NA),79,98.75,3.64 (3.23-4.04)
oligodendrocyte progenitor cells 7,4285.0,0.094,6.0,353,22,6.23,1.47 (1.03-1.90),331,93.77,4.10 (3.93-4.28)
GABA neurons expressing GLU receptors 22,714.0,0.176,48.0,17,4,23.53,2.39 (2.20-2.58),13,76.47,2.28 (1.51-3.05)
GLU like neurons 17,300.0,0.19,53.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12)
da like neurons 11,853.0,0.094,23.0,133,12,9.02,1.08 (0.63-1.52),121,90.98,3.51 (3.20-3.82)
GABA neurons expressing GABA receptors 13,357.0,0.154,46.0,237,9,3.8,3.16 (1.57-4.76),228,96.2,4.45 (4.22-4.68)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.025,2.0,169,21,12.43,2.88 (2.16-3.61),148,87.57,3.54 (3.31-3.77)
GABA like neurons 14,2090.0,0.126,30.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.097,65.0,66,10,15.15,1.26 (0.64-1.88),56,84.85,3.65 (3.24-4.05)
oligodendrocyte progenitor cells 12,708.0,0.085,35.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806.0,0.128,39.0,261,17,6.51,2.99 (2.41-3.58),244,93.49,4.45 (4.20-4.70)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.139,39.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,75.0,0.216,65.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,300.0,0.103,21.0,159,4,2.52,4.03 (NA-NA),155,97.48,4.37 (4.06-4.68)
astrocytes microglia 23,100.0,0.262,32.0,9,2,22.22,3.05 (2.02-4.09),7,77.78,4.21 (2.98-5.44)
astrocytes 4,251.0,0.154,45.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,2078.0,0.098,19.0,238,4,1.68,1.68 (0.54-2.81),234,98.32,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.082,41.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
