tipo_celular,module_size,BEX2_MM,BEX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.234,79.0,164,3,1.83,5.80 (5.23-6.36),161,98.17,4.06 (3.73-4.39)
GABA neurons expressing GLU receptors 22,848.0,0.316,79.0,262,12,4.58,3.69 (2.40-4.97),250,95.42,4.19 (3.94-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.38,91.0,410,19,4.63,4.15 (3.46-4.83),391,95.37,4.25 (4.06-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.196,70.0,213,20,9.39,1.90 (0.89-2.91),193,90.61,3.96 (3.73-4.18)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.218,83.0,18,8,44.44,0.72 (0.51-0.92),10,55.56,2.81 (1.96-3.65)
GABA like neurons 14,2402.0,0.711,99.0,455,25,5.49,2.54 (1.61-3.46),430,94.51,4.46 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.147,75.0,235,9,3.83,5.90 (4.62-7.17),226,96.17,3.77 (3.53-4.00)
oligodendrocytes 10,806.0,0.298,79.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.207,45.0,291,7,2.41,4.28 (2.70-5.86),284,97.59,4.33 (4.10-4.55)
da neurons 6,729.0,0.264,90.0,182,3,1.65,NA,179,98.35,3.64 (3.38-3.89)
astrocytes microglia 23,126.0,0.283,28.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.148,37.0,252,22,8.73,2.44 (1.45-3.43),230,91.27,4.26 (4.02-4.51)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.175,74.0,345,11,3.19,5.21 (4.37-6.05),334,96.81,4.23 (4.02-4.45)
oligodendrocytes 2,526.0,0.223,37.0,213,8,3.76,5.18 (4.30-6.05),205,96.24,3.95 (3.67-4.23)
