tipo_celular,module_size,STX5_MM,STX5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.329,98.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.08,6.0,98,38,38.78,2.65 (2.11-3.20),60,61.22,3.47 (3.13-3.82)
astrocytes 5,423.0,0.086,5.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.128,22.0,127,12,9.45,2.22 (1.58-2.87),115,90.55,4.07 (3.72-4.41)
GABA neurons expressing GLU receptors 22,823.0,0.178,49.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18)
GLU like neurons 17,1247.0,0.142,56.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.159,67.0,133,20,15.04,2.04 (1.43-2.65),113,84.96,3.52 (3.18-3.85)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.074,9.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.151,48.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.052,16.0,66,15,22.73,1.75 (1.08-2.42),51,77.27,3.75 (3.34-4.17)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,45,16.3,2.99 (2.57-3.41),231,83.7,3.69 (3.44-3.94)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.315,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.032,11.0,54,2,3.7,1.95 (0.66-3.24),52,96.3,3.76 (3.31-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.388,83.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,1807.0,0.136,33.0,104,27,25.96,2.77 (2.22-3.32),77,74.04,2.90 (2.57-3.22)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.118,11.0,163,2,1.23,4.18 (2.68-5.69),161,98.77,3.70 (3.43-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
