tipo_celular,module_size,REPS2_MM,REPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.143,33.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,16,4.53,2.14 (1.55-2.73),337,95.47,4.00 (3.81-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.126,21.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.177,39.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,209.0,0.126,25.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.165,52.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.109,22.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.135,46.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.143,97.0,276,13,4.71,2.26 (1.68-2.84),263,95.29,3.63 (3.40-3.85)
oligodendrocytes 10,806.0,0.11,31.0,261,6,2.3,2.26 (1.70-2.81),255,97.7,4.43 (4.19-4.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.211,74.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,553.0,0.176,76.0,124,1,0.81,4.50 (NA-NA),123,99.19,4.18 (3.78-4.58)
astrocytes microglia 23,96.0,0.406,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.232,90.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.101,37.0,161,10,6.21,2.03 (1.11-2.96),151,93.79,3.37 (3.10-3.65)
oligodendrocytes 3,1003.0,0.144,83.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.195,39.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
