tipo_celular,module_size,ACSS3_MM,ACSS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.12,29.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,200.0,0.172,46.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.184,49.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.406,81.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.283,97.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.113,85.0,276,12,4.35,1.90 (1.31-2.48),264,95.65,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.266,66.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,268.0,0.143,68.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.297,54.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,514.0,0.211,64.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
