tipo_celular,module_size,CHIC2_MM,CHIC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.191,39.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,518.0,0.17,61.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141.0,0.15,75.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,666.0,0.138,27.0,127,1,0.79,3.18 (NA-NA),126,99.21,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,823.0,0.138,24.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,685.0,0.13,48.0,135,4,2.96,2.05 (0.74-3.37),131,97.04,3.23 (2.92-3.54)
da like neurons 11,153.0,0.339,82.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.221,58.0,120,2,1.67,2.53 (2.34-2.73),118,98.33,4.65 (4.33-4.96)
oligodendrocytes 20,271.0,0.378,93.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.162,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.208,91.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.144,98.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.216,73.0,358,8,2.23,0.70 (0.32-1.07),350,97.77,3.96 (3.77-4.14)
connective tissue cells 21,152.0,0.227,29.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.059,22.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,82.0,0.066,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.28,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.176,90.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.118,57.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.139,83.0,161,8,4.97,0.70 (0.32-1.07),153,95.03,3.44 (3.18-3.70)
oligodendrocytes 3,854.0,0.076,33.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.12,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
