tipo_celular,module_size,AGAP4_MM,AGAP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.103,30.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.153,76.0,353,3,0.85,4.29 (2.56-6.01),350,99.15,3.88 (3.70-4.07)
GABA neurons expressing GLU receptors 22,599.0,0.114,9.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.111,39.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,82.0,0.209,40.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.029,4.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.136,47.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.021,1.0,66,5,7.58,4.70 (4.08-5.33),61,92.42,3.08 (2.65-3.52)
oligodendrocyte progenitor cells 12,708.0,0.046,12.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,1277.0,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,78.0,0.409,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.039,11.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,123.0,0.251,75.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.34,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.169,89.0,104,1,0.96,2.53 (NA-NA),103,99.04,2.87 (2.58-3.15)
oligodendrocytes 0,2078.0,0.128,78.0,238,1,0.42,2.53 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.056,11.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.153,74.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
