tipo_celular,module_size,NEK6_MM,NEK6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.124,24.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.101,10.0,58,12,20.69,2.91 (2.28-3.55),46,79.31,4.54 (4.08-5.00)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,61,17.28,2.44 (2.11-2.77),292,82.72,4.27 (4.09-4.46)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.113,21.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33)
astrocytes 8,1266.0,0.158,89.0,66,35,53.03,2.56 (2.06-3.06),31,46.97,4.08 (3.51-4.64)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,52,18.84,2.65 (2.33-2.98),224,81.16,3.80 (3.55-4.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,103.0,0.266,44.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,268.0,0.09,52.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.246,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.106,9.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.153,80.0,79,1,1.27,4.05 (NA-NA),78,98.73,3.09 (2.68-3.49)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
