tipo_celular,module_size,PTPRE_MM,PTPRE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.194,42.0,140,7,5.0,2.55 (2.04-3.06),133,95.0,4.68 (4.39-4.96)
T cells 18,393.0,0.238,82.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,322.0,0.151,41.0,58,8,13.79,2.62 (1.98-3.25),50,86.21,4.48 (4.04-4.91)
oligodendrocyte progenitor cells 7,436.0,0.131,51.0,219,5,2.28,5.54 (4.73-6.35),214,97.72,5.20 (4.91-5.50)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.112,36.0,135,16,11.85,1.90 (1.37-2.43),119,88.15,3.40 (3.07-3.73)
da like neurons 11,172.0,0.249,55.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.179,83.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,279.0,0.134,22.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.193,76.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,771.0,0.059,18.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,254.0,0.301,57.0,37,11,29.73,3.40 (2.77-4.03),26,70.27,5.10 (4.39-5.81)
oligodendrocytes 10,2107.0,0.277,86.0,358,23,6.42,1.37 (0.96-1.78),335,93.58,4.10 (3.92-4.28)
connective tissue cells 21,250.0,0.231,25.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88)
astrocytes 15,1401.0,0.055,21.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,108.0,0.255,77.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.327,63.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,201.0,0.167,46.0,18,6,33.33,3.00 (2.56-3.44),12,66.67,5.46 (4.43-6.49)
oligodendrocytes 0,309.0,0.271,95.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813.0,0.201,93.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.161,95.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,804.0,0.185,81.0,84,7,8.33,1.98 (1.03-2.92),77,91.67,2.77 (2.42-3.13)
