tipo_celular,module_size,RNF121_MM,RNF121_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.073,5.0,98,2,2.04,2.52 (0.11-4.92),96,97.96,3.23 (2.75-3.71)
T cells 18,388.0,0.052,4.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.101,27.0,136,6,4.41,3.69 (3.53-3.85),130,95.59,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,21,5.95,2.09 (1.39-2.78),332,94.05,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.204,77.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.16,38.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.119,26.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.023,1.0,83,2,2.41,3.18 (1.90-4.45),81,97.59,3.25 (2.79-3.71)
oligodendrocyte progenitor cells 12,708.0,0.047,14.0,32,8,25.0,1.28 (0.39-2.18),24,75.0,4.03 (3.17-4.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.034,4.0,105,9,8.57,3.04 (2.54-3.55),96,91.43,3.23 (2.86-3.60)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.39,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.134,30.0,104,11,10.58,3.09 (2.51-3.66),93,89.42,2.83 (2.52-3.14)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.063,2.0,161,16,9.94,1.67 (0.86-2.48),145,90.06,3.42 (3.15-3.69)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
