tipo_celular,module_size,CDC5L_MM,CDC5L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.126,29.0,71,6,8.45,1.51 (0.95-2.07),65,91.55,2.74 (2.30-3.19)
T cells 18,393.0,0.132,35.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,72,20.4,2.21 (1.94-2.49),281,79.6,4.46 (4.29-4.63)
GABA neurons expressing GLU receptors 22,823.0,0.131,21.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24)
GLU like neurons 17,637.0,0.078,12.0,91,10,10.99,0.86 (0.32-1.40),81,89.01,5.11 (4.66-5.55)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.139,29.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,385.0,0.082,25.0,275,71,25.82,2.20 (1.92-2.48),204,74.18,4.88 (4.64-5.13)
oligodendrocytes 20,228.0,0.184,44.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2402.0,0.1,8.0,455,38,8.35,2.09 (1.60-2.59),417,91.65,4.61 (4.43-4.79)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.122,90.0,276,53,19.2,2.05 (1.85-2.26),223,80.8,4.02 (3.78-4.25)
oligodendrocytes 10,735.0,0.066,26.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,136.0,0.418,94.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.225,67.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,518.0,0.068,6.0,122,11,9.02,1.31 (0.61-2.00),111,90.98,4.31 (3.93-4.69)
astrocytes microglia 23,157.0,0.323,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,15,6.3,2.41 (2.04-2.78),223,93.7,3.74 (3.50-3.97)
microglia 1,958.0,0.117,60.0,290,22,7.59,2.42 (1.99-2.85),268,92.41,3.94 (3.70-4.18)
oligodendrocytes 3,743.0,0.059,17.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,1630.0,0.137,40.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
