tipo_celular,module_size,USP45_MM,USP45_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.157,46.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,610.0,0.134,36.0,98,26,26.53,1.78 (1.34-2.21),72,73.47,3.68 (3.36-4.00)
astrocytes 5,1656.0,0.12,57.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,35,9.92,2.07 (1.62-2.51),318,90.08,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,823.0,0.239,83.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,300.0,0.148,18.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,77.0,0.325,60.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.097,24.0,297,8,2.69,3.33 (2.71-3.94),289,97.31,3.68 (3.47-3.89)
oligodendrocytes 20,348.0,0.096,43.0,33,3,9.09,3.12 (2.99-3.24),30,90.91,2.69 (2.15-3.23)
GABA like neurons 14,3052.0,0.137,48.0,125,4,3.2,3.08 (2.95-3.22),121,96.8,3.36 (3.03-3.69)
astrocytes 8,262.0,0.14,51.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,27,9.78,2.51 (2.01-3.00),249,90.22,3.68 (3.45-3.91)
oligodendrocytes 10,2107.0,0.145,50.0,358,36,10.06,2.11 (1.63-2.58),322,89.94,4.11 (3.92-4.30)
connective tissue cells 21,111.0,0.305,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.182,72.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,91.0,0.369,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.305,45.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,787.0,0.167,78.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.14,93.0,238,17,7.14,3.42 (2.56-4.27),221,92.86,3.65 (3.42-3.88)
microglia 1,1615.0,0.106,44.0,161,32,19.88,2.07 (1.61-2.53),129,80.12,3.66 (3.37-3.94)
oligodendrocytes 3,854.0,0.1,60.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.13,27.0,154,3,1.95,3.22 (NA-NA),151,98.05,3.24 (2.98-3.51)
