tipo_celular,module_size,CNTN2_MM,CNTN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.476,97.0,45,3,6.67,NA,42,93.33,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.36,89.0,91,11,12.09,2.77 (1.88-3.67),80,87.91,4.84 (4.29-5.40)
da like neurons 11,408.0,0.454,88.0,25,5,20.0,2.16 (1.46-2.86),20,80.0,5.23 (3.73-6.72)
GABA neurons expressing GABA receptors 13,288.0,0.141,35.0,93,38,40.86,5.04 (4.39-5.70),55,59.14,5.23 (4.50-5.95)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.102,29.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77)
GABA like neurons 14,3052.0,0.104,20.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.55,97.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.48,68.0,92,14,15.22,4.97 (3.64-6.31),78,84.78,5.82 (5.32-6.32)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.305,51.0,105,36,34.29,4.75 (4.02-5.48),69,65.71,5.30 (4.74-5.87)
da neurons 6,398.0,0.208,70.0,138,20,14.49,4.46 (3.76-5.16),118,85.51,4.89 (4.47-5.30)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.097,9.0,252,6,2.38,2.62 (0.71-4.52),246,97.62,4.13 (3.88-4.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.206,27.0,45,15,33.33,4.03 (3.40-4.66),30,66.67,4.56 (3.06-6.06)
oligodendrocytes 2,528.0,0.174,34.0,175,4,2.29,2.92 (1.22-4.63),171,97.71,4.42 (4.06-4.77)
