tipo_celular,module_size,GRIA4_MM,GRIA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.256,92.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.325,99.0,219,52,23.74,5.28 (4.76-5.80),167,76.26,5.19 (4.86-5.53)
GABA neurons expressing GLU receptors 22,459.0,0.416,99.0,165,49,29.7,3.95 (3.23-4.68),116,70.3,5.41 (5.04-5.78)
GLU like neurons 17,795.0,0.298,93.0,80,10,12.5,4.88 (3.68-6.08),70,87.5,5.85 (5.43-6.28)
da like neurons 11,408.0,0.159,47.0,25,7,28.0,2.90 (0.44-5.35),18,72.0,5.54 (4.19-6.88)
GABA neurons expressing GABA receptors 13,357.0,0.116,25.0,237,2,0.84,3.07 (2.48-3.66),235,99.16,4.42 (4.19-4.66)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.515,80.0,110,14,12.73,4.24 (2.61-5.87),96,87.27,5.10 (4.65-5.56)
GABA like neurons 14,1300.0,0.143,20.0,306,67,21.9,4.17 (3.60-4.75),239,78.1,5.36 (5.08-5.65)
astrocytes 8,771.0,0.374,87.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,411.0,0.425,92.0,103,24,23.3,5.44 (4.79-6.08),79,76.7,5.58 (5.12-6.04)
oligodendrocytes 10,236.0,0.47,44.0,82,2,2.44,3.44 (3.37-3.51),80,97.56,5.04 (4.51-5.58)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.119,78.0,105,7,6.67,1.50 (0.76-2.24),98,93.33,3.35 (3.00-3.69)
oligodendrocytes 16,287.0,0.447,89.0,105,13,12.38,3.50 (2.22-4.78),92,87.62,5.37 (4.93-5.81)
da neurons 6,448.0,0.157,86.0,43,3,6.98,6.09 (NA-NA),40,93.02,3.20 (2.69-3.71)
astrocytes microglia 23,116.0,0.249,13.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,161.0,0.301,89.0,45,5,11.11,5.70 (5.32-6.08),40,88.89,5.24 (4.54-5.93)
oligodendrocytes 0,261.0,0.128,17.0,42,7,16.67,2.60 (1.11-4.10),35,83.33,4.40 (3.67-5.13)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.216,35.0,45,5,11.11,2.90 (1.60-4.20),40,88.89,4.65 (3.69-5.61)
oligodendrocytes 2,348.0,0.167,35.0,114,14,12.28,5.06 (3.66-6.47),100,87.72,5.12 (4.69-5.55)
