tipo_celular,module_size,UPF1_MM,UPF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.055,2.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282.0,0.27,94.0,12,5,41.67,5.17 (4.63-5.71),7,58.33,1.97 (0.93-3.01)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,108,30.59,3.20 (2.86-3.55),245,69.41,4.31 (4.12-4.50)
GABA neurons expressing GLU receptors 22,487.0,0.187,38.0,73,8,10.96,1.82 (1.36-2.28),65,89.04,2.89 (2.47-3.31)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.079,6.0,410,22,5.37,3.33 (2.49-4.17),388,94.63,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.087,31.0,275,100,36.36,3.03 (2.69-3.37),175,63.64,4.79 (4.48-5.11)
oligodendrocytes 20,348.0,0.061,30.0,33,5,15.15,3.86 (2.48-5.24),28,84.85,2.61 (2.11-3.11)
GABA like neurons 14,3052.0,0.145,56.0,125,9,7.2,4.78 (3.96-5.59),116,92.8,3.23 (2.89-3.56)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.047,14.0,32,12,37.5,1.70 (0.99-2.41),20,62.5,4.40 (3.41-5.40)
oligodendrocytes 10,735.0,0.073,32.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,106.0,0.374,88.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.195,43.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23)
da neurons 6,518.0,0.129,68.0,122,24,19.67,2.27 (1.75-2.79),98,80.33,4.59 (4.17-5.00)
astrocytes microglia 23,125.0,0.421,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.109,39.0,238,43,18.07,4.39 (3.88-4.89),195,81.93,3.44 (3.20-3.67)
microglia 1,958.0,0.119,62.0,290,57,19.66,4.20 (3.72-4.68),233,80.34,3.69 (3.43-3.95)
oligodendrocytes 3,681.0,0.049,7.0,87,50,57.47,2.22 (1.95-2.50),37,42.53,3.15 (2.66-3.64)
oligodendrocytes 2,1630.0,0.167,92.0,154,5,3.25,3.44 (2.56-4.32),149,96.75,3.24 (2.96-3.51)
