tipo_celular,module_size,FAXC_MM,FAXC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,2,0.57,0.61 (-0.07-1.28),351,99.43,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,823.0,0.218,75.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,229.0,0.192,46.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,77.0,0.35,66.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,200.0,0.234,90.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.132,18.0,455,2,0.44,0.61 (-0.07-1.28),453,99.56,4.36 (4.18-4.55)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.138,57.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
