tipo_celular,module_size,NOL4L_MM,NOL4L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.158,38.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,727.0,0.088,9.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.1,37.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,15,4.25,1.58 (0.98-2.19),338,95.75,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,567.0,0.362,88.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.222,89.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,408.0,0.118,29.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.116,17.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,271.0,0.157,42.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.203,81.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.038,5.0,66,12,18.18,1.75 (1.05-2.45),54,81.82,3.62 (3.19-4.05)
oligodendrocyte progenitor cells 12,708.0,0.141,62.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,2107.0,0.221,75.0,358,15,4.19,1.58 (0.98-2.19),343,95.81,4.00 (3.81-4.19)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.208,97.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105.0,0.209,44.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.3,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,19.0,104,9,8.65,1.97 (1.28-2.65),95,91.35,2.95 (2.66-3.25)
oligodendrocytes 0,1186.0,0.123,20.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.138,83.0,161,15,9.32,1.58 (0.98-2.19),146,90.68,3.49 (3.22-3.76)
oligodendrocytes 3,187.0,0.123,62.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,407.0,0.187,78.0,122,14,11.48,1.63 (0.99-2.27),108,88.52,3.62 (3.21-4.03)
