tipo_celular,module_size,STK25_MM,STK25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.09,14.0,136,2,1.47,2.64 (1.31-3.96),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.089,4.0,353,38,10.76,2.41 (1.93-2.89),315,89.24,4.13 (3.94-4.32)
GABA neurons expressing GLU receptors 22,703.0,0.183,48.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.11,20.0,410,22,5.37,3.35 (2.74-3.96),388,94.63,4.31 (4.11-4.50)
GABA neurons expressing GABA receptors 13,101.0,0.105,5.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,559.0,0.06,6.0,155,2,1.29,3.13 (NA-NA),153,98.71,4.35 (3.98-4.72)
oligodendrocytes 20,348.0,0.236,81.0,33,8,24.24,3.55 (3.11-3.99),25,75.76,2.44 (1.84-3.04)
GABA like neurons 14,2402.0,0.233,51.0,455,28,6.15,2.27 (1.60-2.94),427,93.85,4.51 (4.32-4.69)
astrocytes 8,603.0,0.071,46.0,89,4,4.49,1.39 (0.47-2.32),85,95.51,2.85 (2.49-3.21)
oligodendrocyte progenitor cells 12,1049.0,0.086,46.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.122,35.0,261,10,3.83,2.74 (2.10-3.37),251,96.17,4.42 (4.17-4.66)
connective tissue cells 21,82.0,0.348,82.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,338.0,0.049,5.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91.0,0.232,72.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,553.0,0.086,17.0,124,8,6.45,3.26 (2.30-4.21),116,93.55,4.27 (3.86-4.69)
astrocytes microglia 23,110.0,0.393,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,68.0,104,15,14.42,1.91 (1.34-2.48),89,85.58,3.04 (2.74-3.34)
oligodendrocytes 0,2078.0,0.106,32.0,238,13,5.46,3.08 (2.26-3.90),225,94.54,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.042,3.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
