tipo_celular,module_size,CLOCK_MM,CLOCK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.168,27.0,21,12,57.14,1.67 (0.95-2.40),9,42.86,3.24 (2.45-4.03)
T cells 18,610.0,0.162,59.0,98,55,56.12,2.42 (2.11-2.73),43,43.88,4.28 (3.84-4.72)
astrocytes 5,1141.0,0.157,82.0,166,68,40.96,2.83 (2.52-3.13),98,59.04,3.88 (3.53-4.24)
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,93,26.35,2.52 (2.29-2.75),260,73.65,4.56 (4.37-4.75)
GABA neurons expressing GLU receptors 22,823.0,0.173,46.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,229.0,0.164,28.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,153.0,0.32,77.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.135,55.0,297,13,4.38,3.24 (2.88-3.60),284,95.62,3.70 (3.48-3.91)
oligodendrocytes 20,348.0,0.106,46.0,33,6,18.18,3.07 (2.78-3.36),27,81.82,2.65 (2.05-3.25)
GABA like neurons 14,3052.0,0.168,74.0,125,5,4.0,3.38 (3.08-3.67),120,96.0,3.35 (3.01-3.69)
astrocytes 8,727.0,0.197,88.0,29,2,6.9,2.94 (0.73-5.15),27,93.1,2.32 (1.80-2.83)
oligodendrocyte progenitor cells 12,3303.0,0.141,97.0,276,73,26.45,2.47 (2.24-2.70),203,73.55,4.09 (3.82-4.35)
oligodendrocytes 10,2107.0,0.106,32.0,358,113,31.56,2.62 (2.39-2.86),245,68.44,4.70 (4.51-4.90)
connective tissue cells 21,90.0,0.278,39.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,1401.0,0.042,10.0,96,13,13.54,3.35 (2.41-4.30),83,86.46,3.66 (3.16-4.17)
oligodendrocytes 16,123.0,0.201,41.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.318,51.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA
astrocytes 4,721.0,0.145,38.0,61,7,11.48,3.96 (3.85-4.08),54,88.52,2.87 (2.43-3.31)
oligodendrocytes 0,613.0,0.156,62.0,127,27,21.26,2.73 (2.33-3.12),100,78.74,3.20 (2.63-3.77)
microglia 1,1615.0,0.137,82.0,161,76,47.2,2.38 (2.13-2.63),85,52.8,4.45 (4.11-4.79)
oligodendrocytes 3,743.0,0.111,80.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.146,67.0,200,12,6.0,2.95 (2.29-3.61),188,94.0,3.66 (3.38-3.94)
