tipo_celular,module_size,FBXL2_MM,FBXL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,53,15.01,2.89 (2.46-3.31),300,84.99,4.12 (3.93-4.32)
GABA neurons expressing GLU receptors 22,714.0,0.192,56.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,229.0,0.195,47.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,289.0,0.34,95.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200.0,0.064,0.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.024,3.0,33,3,9.09,2.96 (2.73-3.18),30,90.91,2.71 (2.17-3.25)
GABA like neurons 14,1300.0,0.256,73.0,306,24,7.84,2.51 (1.99-3.03),282,92.16,5.40 (5.15-5.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,47,17.03,2.94 (2.51-3.37),229,82.97,3.71 (3.46-3.95)
oligodendrocytes 10,806.0,0.107,30.0,261,5,1.92,3.20 (1.98-4.42),256,98.08,4.40 (4.15-4.64)
connective tissue cells 21,82.0,0.35,84.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,199.0,0.145,27.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,553.0,0.075,9.0,124,7,5.65,4.24 (3.45-5.02),117,94.35,4.18 (3.76-4.60)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.06,1.0,238,16,6.72,3.82 (3.03-4.60),222,93.28,3.62 (3.39-3.85)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.121,44.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.195,51.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
