tipo_celular,module_size,PCDH9_MM,PCDH9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.802,100.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.622,96.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,156,0.21,82.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436,0.127,48.0,219,1,0.46,4.39 (NA-NA),218,99.54,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,567,0.33,85.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637,0.436,94.0,91,1,1.1,0.21 (NA-NA),90,98.9,4.60 (4.09-5.12)
da like neurons 11,408,0.467,89.0,25,0,0.0,NA,25,100.0,4.61 (3.30-5.93)
GABA neurons expressing GABA receptors 13,288,0.556,99.0,93,1,1.08,4.39 (NA-NA),92,98.92,5.16 (4.66-5.66)
endothelial cells 9,450,0.751,100.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330,0.215,63.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.202,48.0,306,2,0.65,2.30 (-1.80-6.40),304,99.35,5.12 (4.86-5.38)
astrocytes 8,218,0.461,100.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,411,0.219,61.0,103,1,0.97,4.39 (NA-NA),102,99.03,5.56 (5.17-5.95)
oligodendrocytes 10,204,0.616,97.0,92,1,1.09,4.39 (NA-NA),91,98.91,5.72 (5.25-6.20)
connective tissue cells 21,250,0.777,96.0,117,1,0.85,4.39 (NA-NA),116,99.15,5.38 (4.98-5.79)
astrocytes 15,458,0.22,86.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199,0.294,97.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398,0.532,98.0,138,1,0.72,4.39 (NA-NA),137,99.28,4.83 (4.46-5.20)
astrocytes microglia 23,122,0.398,86.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,220,0.156,42.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,479,0.239,90.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127,0.7,100.0,24,1,4.17,4.39 (NA-NA),23,95.83,5.21 (4.47-5.95)
oligodendrocytes 3,1003,0.293,100.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.552,99.0,114,1,0.88,4.39 (NA-NA),113,99.12,5.12 (4.71-5.54)
