tipo_celular,module_size,SMARCB1_MM,SMARCB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.117,63.0,80,10,12.5,4.85 (4.37-5.33),70,87.5,3.49 (3.04-3.94)
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,90,25.5,2.69 (2.41-2.98),263,74.5,4.45 (4.26-4.65)
GABA neurons expressing GLU receptors 22,400.0,0.209,57.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14)
GLU like neurons 17,229.0,0.228,68.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,94.0,0.077,13.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.085,10.0,302,5,1.66,4.07 (1.54-6.59),297,98.34,3.98 (3.75-4.20)
oligodendrocytes 20,271.0,0.265,80.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.125,29.0,74,23,31.08,2.93 (2.42-3.44),51,68.92,2.95 (2.44-3.45)
astrocytes 8,1266.0,0.097,65.0,66,27,40.91,2.24 (1.71-2.76),39,59.09,4.00 (3.52-4.48)
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,61,22.1,2.26 (2.02-2.50),215,77.9,4.03 (3.78-4.28)
oligodendrocytes 10,735.0,0.064,24.0,277,3,1.08,6.03 (5.93-6.13),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,106.0,0.397,94.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,338.0,0.161,58.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,122.0,0.274,88.0,11,6,54.55,3.52 (2.71-4.33),5,45.45,3.65 (3.51-3.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.279,35.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.133,28.0,104,31,29.81,1.99 (1.56-2.42),73,70.19,3.28 (2.96-3.59)
oligodendrocytes 0,2078.0,0.1,22.0,238,23,9.66,2.90 (2.41-3.40),215,90.34,3.72 (3.49-3.96)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.06,14.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.151,69.0,154,7,4.55,4.51 (3.04-5.97),147,95.45,3.18 (2.91-3.44)
