tipo_celular,module_size,CHD3_MM,CHD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.128,27.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.339,84.0,73,8,10.96,1.81 (1.38-2.25),65,89.04,2.89 (2.47-3.32)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.115,37.0,133,62,46.62,2.44 (2.11-2.76),71,53.38,4.15 (3.70-4.59)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.126,67.0,275,72,26.18,2.28 (1.99-2.57),203,73.82,4.80 (4.54-5.06)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.138,21.0,455,31,6.81,1.61 (1.20-2.02),424,93.19,4.59 (4.41-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.36,76.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.121,44.0,124,3,2.42,2.29 (-1.40-5.98),121,97.58,4.23 (3.83-4.62)
astrocytes microglia 23,134.0,0.318,54.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
