tipo_celular,module_size,MERTK_MM,MERTK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.158,50.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.2,75.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91)
oligodendrocyte progenitor cells 7,666.0,0.205,74.0,127,17,13.39,2.64 (2.00-3.27),110,86.61,4.13 (3.77-4.49)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.176,81.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.181,88.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78)
oligodendrocyte progenitor cells 12,3303.0,0.114,86.0,276,24,8.7,2.34 (1.86-2.83),252,91.3,3.70 (3.47-3.92)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.272,42.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.039,6.0,105,16,15.24,1.77 (1.31-2.24),89,84.76,3.50 (3.14-3.86)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.185,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.266,79.0,95,5,5.26,1.97 (0.34-3.60),90,94.74,3.47 (3.04-3.90)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.221,82.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
