tipo_celular,module_size,SIMC1_MM,SIMC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.118,20.0,32,2,6.25,3.12 (2.26-3.98),30,93.75,3.77 (2.94-4.61)
T cells 18,727.0,0.189,81.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141.0,0.112,25.0,166,12,7.23,2.04 (1.41-2.68),154,92.77,3.51 (3.25-3.77)
oligodendrocyte progenitor cells 7,4285.0,0.139,55.0,353,19,5.38,1.46 (0.95-1.97),334,94.62,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.283,99.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.121,48.0,101,1,0.99,NA,100,99.01,3.05 (2.70-3.40)
da like neurons 11,108.0,0.371,91.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.104,30.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.164,29.0,306,3,0.98,2.73 (1.82-3.64),303,99.02,5.13 (4.86-5.39)
astrocytes 8,727.0,0.115,55.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.094,69.0,276,12,4.35,2.03 (1.48-2.58),264,95.65,3.62 (3.39-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,69.0,0.232,17.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443.0,0.144,42.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.28,24.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,721.0,0.153,53.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.121,66.0,161,16,9.94,1.59 (0.98-2.19),145,90.06,3.49 (3.22-3.76)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
