tipo_celular,module_size,LSS_MM,LSS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.199,68.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.092,17.0,136,6,4.41,3.36 (2.55-4.16),130,95.59,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,18,5.1,1.23 (0.80-1.65),335,94.9,4.08 (3.90-4.25)
GABA neurons expressing GLU receptors 22,567.0,0.05,2.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.138,63.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.121,42.0,133,10,7.52,0.83 (0.52-1.14),123,92.48,3.49 (3.18-3.80)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.159,34.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,403.0,0.135,55.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,2090.0,0.175,64.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,771.0,0.273,77.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.247,83.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,1277.0,0.181,86.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,104.0,0.275,45.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.071,34.0,105,13,12.38,2.10 (1.38-2.81),92,87.62,3.38 (3.03-3.74)
oligodendrocytes 16,121.0,0.139,8.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,398.0,0.095,17.0,138,3,2.17,0.53 (0.23-0.83),135,97.83,4.94 (4.58-5.29)
astrocytes microglia 23,111.0,0.339,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.152,63.0,104,13,12.5,2.13 (1.33-2.93),91,87.5,2.98 (2.68-3.27)
oligodendrocytes 0,117.0,0.181,65.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.175,92.0,87,9,10.34,1.09 (0.74-1.43),78,89.66,2.77 (2.50-3.05)
oligodendrocytes 2,921.0,0.183,96.0,200,3,1.5,1.77 (1.25-2.29),197,98.5,3.66 (3.39-3.92)
