tipo_celular,module_size,TTLL11_MM,TTLL11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.258,77.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.099,36.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,13,3.68,1.52 (0.90-2.14),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.086,6.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.171,49.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,145.0,0.379,85.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.306,69.0,74,7,9.46,4.05 (3.10-4.99),67,90.54,5.66 (5.07-6.26)
oligodendrocytes 20,275.0,0.3,78.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.212,84.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,771.0,0.283,78.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.173,72.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.254,99.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.512,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.055,18.0,105,7,6.67,1.70 (0.93-2.48),98,93.33,3.33 (2.99-3.67)
oligodendrocytes 16,65.0,0.26,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.359,72.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,1807.0,0.14,41.0,104,5,4.81,1.69 (0.56-2.82),99,95.19,2.93 (2.64-3.21)
oligodendrocytes 0,309.0,0.209,87.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813.0,0.142,74.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.159,85.0,15,7,46.67,1.59 (0.61-2.58),8,53.33,4.79 (2.99-6.58)
oligodendrocytes 2,237.0,0.251,66.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
