tipo_celular,module_size,PSMB4_MM,PSMB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.105,14.0,225,14,6.22,3.02 (2.10-3.94),211,93.78,3.64 (3.39-3.90)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.231,57.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73.0,0.103,6.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916.0,0.195,46.0,302,11,3.64,3.22 (2.33-4.12),291,96.36,4.01 (3.78-4.25)
oligodendrocytes 20,271.0,0.237,73.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.348,73.0,455,41,9.01,2.46 (2.01-2.92),414,90.99,4.58 (4.40-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.154,77.0,277,4,1.44,4.03 (3.69-4.37),273,98.56,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.165,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.125,52.0,235,14,5.96,2.83 (2.16-3.51),221,94.04,4.08 (3.82-4.34)
astrocytes microglia 23,96.0,0.353,71.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.091,8.0,252,37,14.68,2.49 (1.98-3.00),215,85.32,4.42 (4.16-4.67)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.098,39.0,345,21,6.09,3.95 (3.78-4.11),324,93.91,4.30 (4.07-4.52)
oligodendrocytes 2,528.0,0.157,22.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75)
