tipo_celular,module_size,ALG5_MM,ALG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,22,6.23,1.46 (1.03-1.89),331,93.77,4.10 (3.93-4.28)
GABA neurons expressing GLU receptors 22,714.0,0.153,33.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,1316.0,0.126,53.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,408.0,0.066,4.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.177,54.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.09,6.0,455,22,4.84,1.88 (1.29-2.47),433,95.16,4.52 (4.34-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,13,4.71,1.88 (1.35-2.41),263,95.29,3.65 (3.43-3.87)
oligodendrocytes 10,483.0,0.049,10.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,100.0,0.329,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.278,88.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.424,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.102,25.0,238,5,2.1,2.31 (1.26-3.36),233,97.9,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.079,37.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.117,10.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
