tipo_celular,module_size,IKZF2_MM,IKZF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.167,60.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,518.0,0.193,73.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,1141.0,0.127,44.0,166,17,10.24,1.63 (1.30-1.95),149,89.76,3.64 (3.39-3.89)
oligodendrocyte progenitor cells 7,448.0,0.137,47.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567.0,0.244,70.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.225,70.0,91,2,2.2,1.08 (-0.63-2.78),89,97.8,4.64 (4.13-5.16)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.246,60.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,348.0,0.055,26.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.083,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.124,50.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,138.0,0.51,78.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.413,98.0,358,33,9.22,1.73 (1.49-1.96),325,90.78,4.16 (3.98-4.35)
connective tissue cells 21,106.0,0.304,59.0,9,0,0.0,NA,9,100.0,3.76 (1.20-6.32)
astrocytes 15,338.0,0.106,16.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,65.0,0.211,61.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.222,10.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,752.0,0.132,21.0,96,3,3.12,1.97 (1.86-2.07),93,96.88,3.34 (3.01-3.68)
oligodendrocytes 0,613.0,0.193,87.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71)
microglia 1,813.0,0.216,95.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.229,97.0,87,26,29.89,1.88 (1.64-2.12),61,70.11,2.92 (2.57-3.27)
oligodendrocytes 2,348.0,0.175,41.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
